2026-01-21 00:04:37.225 [34mINFO [0;39m [] [main] c.bharatshop.BharatshopApplication - Starting BharatshopApplication using Java 17.0.12 with PID 64156 (C:\Users\Adarsh\Downloads\bharatshop-backend\target\bharatshop-backend-0.0.1-SNAPSHOT.jar started by Adarsh in C:\Users\Adarsh\Downloads\bharatshop-backend)
2026-01-21 20:11:02.155 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=0db8e061-88b3-4347-9296-81f4fbd76a75 tenant=tenantA source=DB
2026-01-21 20:11:02.156 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=2bd87494-97ef-4670-bd15-1c8edc536f30 tenant=tenantA source=DB
2026-01-21 20:11:02.157 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=33b16e50-5c33-4fc8-b546-8c796895cf49 tenant=tenantA source=DB
2026-01-21 20:11:02.157 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=576fa9b1-08a4-42ee-9085-f7824c0a5ab2 tenant=tenantA source=DB
2026-01-21 20:11:02.157 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=63a5a059-9fb3-4f8e-9b44-b1d3ebf7e683 tenant=tenantA source=DB
2026-01-21 20:11:02.158 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=68a008cd-6b10-4e48-b036-e3d752230378 tenant=tenantA source=DB
2026-01-21 20:11:02.159 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=6ea7274b-5a33-4085-9a5a-b330ae666b49 tenant=tenantA source=DB
2026-01-21 20:11:02.159 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=73eb4dbc-b400-4220-95b5-76fecdc03d79 tenant=tenantA source=DB
2026-01-21 20:11:02.159 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=7bcf0556-b5ba-4df8-9196-1d24f45488c0 tenant=tenantA source=DB
2026-01-21 20:11:02.160 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=928bb134-16cf-4cb3-bc8e-cd70332ab789 tenant=tenantA source=DB
2026-01-21 20:11:02.160 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=9a0c37d7-50b9-462e-a551-dcdd782d8a5f tenant=tenantA source=DB
2026-01-21 20:11:02.161 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=a4de947c-3059-448e-ab5f-3d6d148f193b tenant=tenantA source=DB
2026-01-21 20:11:02.161 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=b485290f-bc7c-4752-af1b-99edf8480ee6 tenant=tenantA source=DB
2026-01-21 20:11:02.162 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=b585adf9-d1e7-41be-ba0f-179581c84259 tenant=tenantA source=DB
2026-01-21 20:11:02.162 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=cf88b9ed-cc07-4a33-b099-5e4f9bd217a7 tenant=tenantA source=DB
2026-01-21 20:11:02.163 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=de7ec43b-f843-45ab-bb22-c92531b9d7c7 tenant=tenantA source=DB
2026-01-21 20:11:02.163 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=ee9d384e-62ad-4629-95ca-dac08774fe42 tenant=tenantA source=DB
2026-01-21 20:11:02.163 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=0a31f491-0902-4171-873b-f9895b87ca9f tenant=tenantA source=DB
2026-01-21 20:11:02.164 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=1226dfbd-91a6-4b45-b392-f4c3f9a1dc28 tenant=tenantA source=DB
2026-01-21 20:11:02.164 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=1a1b322a-ce44-40b1-88ea-2824396a7a79 tenant=tenantA source=DB
2026-01-21 20:11:02.165 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=1cc5429f-ea1c-44a8-8823-a4028ba0abab tenant=tenantA source=DB
2026-01-21 20:11:02.165 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=24ab445b-351b-441e-b886-7e6b905c269b tenant=tenantA source=DB
2026-01-21 20:11:02.166 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=388bcc94-5e39-46bf-aaf2-4e3fcff6bf88 tenant=tenantA source=DB
2026-01-21 20:11:02.166 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=3ce3b1bf-7c55-4fa5-bbe3-f45f8a93c67a tenant=tenantA source=DB
2026-01-21 20:11:02.166 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=46d84fa8-6153-4a40-8fe2-bcc31c67ebf0 tenant=tenantA source=DB
2026-01-21 20:11:02.167 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=7c626af0-9464-4de1-9c3c-e940807fbe76 tenant=tenantA source=DB
2026-01-21 20:11:02.167 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=871a0bfe-570b-44ed-b7c4-ef60b2d18cf1 tenant=tenantA source=DB
2026-01-21 20:11:02.167 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=87a84161-6c82-4ca5-a8f7-5b466d179ef0 tenant=tenantA source=DB
2026-01-21 20:11:02.168 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=90e791d5-27d3-4330-b834-48510b7dea41 tenant=tenantA source=DB
2026-01-21 20:11:02.168 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=9ab20b1c-6f2c-43b1-a8cf-8ef50a4b9c4f tenant=tenantA source=DB
2026-01-21 20:11:02.168 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=9d6418ad-35b6-4d3b-b8b4-3d480954db28 tenant=tenantA source=DB
2026-01-21 20:11:02.168 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=a1ec40c4-817b-42ca-8bb8-d8e9ed6da87b tenant=tenantA source=DB
2026-01-21 20:11:02.170 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=ab14eaea-2b0c-42fb-86ac-bfb2913095f0 tenant=tenantA source=DB
2026-01-21 20:11:02.170 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=aee5f433-686e-45bb-be6b-2160a9267cb2 tenant=tenantA source=DB
2026-01-21 20:11:02.171 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=c912f8c0-40c6-4961-9251-a3330a288157 tenant=tenantA source=DB
2026-01-21 20:11:02.171 [1;31mERROR[0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.web.CustomerStorefrontController - [PROOF][STORE_LIST] store.id=ce9a05aa-7780-4da8-a071-1039ff4b1e4f tenant=tenantA source=DB
2026-01-21 20:11:02.176 [34mINFO [0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.config.logging.HttpLoggingFilter - GET /api/storefront/stores -> 200 (93 ms)
2026-01-21 20:11:02.178 [34mINFO [0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.config.logging.HttpLoggingFilter - Headers: auth=absent content-type=application/json accept=*/*
2026-01-21 20:11:02.179 [34mINFO [0;39m [2ed9e09a-f2a0-4a51-b374-00b047d3d621] [http-nio-8080-exec-3] c.b.config.logging.HttpLoggingFilter - Response payload: [{"id":"storeA","name":"Alpha Kirana Store","area":"Connaught Place","category":"grocery","ownerId":null,"ownerPhone":"9000000002","products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-16T00:06:49Z"},{"id":"0292f24b-55db-4522-99f9-43dbbb245246","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-21T14:03:41.421635Z"},{"id":"0b9b291e-a552-4561-a931-864ca0eaedbd","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-20T18:36:32.443560Z"},{"id":"0db8e061-88b3-4347-9296-81f4fbd76a75","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-20T18:41:59.248838Z"},{"id":"2bd87494-97ef-4670-bd15-1c8edc536f30","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-20T17:52:23.282566Z"},{"id":"33b16e50-5c33-4fc8-b546-8c796895cf49","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-15T18:57:31.724056Z"},{"id":"576fa9b1-08a4-42ee-9085-f7824c0a5ab2","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-20T17:00:28.881857Z"},{"id":"63a5a059-9fb3-4f8e-9b44-b1d3ebf7e683","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-18T20:13:38.663820Z"},{"id":"68a008cd-6b10-4e48-b036-e3d752230378","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-15T19:03:29.647598Z"},{"id":"6ea7274b-5a33-4085-9a5a-b330ae666b49","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-20T18:26:50.891143Z"},{"id":"73eb4dbc-b400-4220-95b5-76fecdc03d79","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-20T18:10:55.398536Z"},{"id":"7bcf0556-b5ba-4df8-9196-1d24f45488c0","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-18T20:09:12.421625Z"},{"id":"928bb134-16cf-4cb3-bc8e-cd70332ab789","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-20T18:34:56.829834Z"},{"id":"9a0c37d7-50b9-462e-a551-dcdd782d8a5f","name":"City Pharmacy","area":"Brigade","category":"pharmacy","ownerId":null,"ownerPhone":null,"products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-15T19:11:19.048431Z"},{"id":"a4de947c-3059-448e-ab5f-3d6d148... (truncated)
2026-01-21 20:11:02.189 [34mINFO [0;39m [dfebe4e4-7b32-481d-ad96-7e4610690d3b] [http-nio-8080-exec-5] c.b.config.logging.HttpLoggingFilter - GET /api/storefront/categories -> 200 (101 ms)
2026-01-21 20:11:02.190 [34mINFO [0;39m [dfebe4e4-7b32-481d-ad96-7e4610690d3b] [http-nio-8080-exec-5] c.b.config.logging.HttpLoggingFilter - Headers: auth=absent content-type=application/json accept=*/*
2026-01-21 20:11:02.191 [34mINFO [0;39m [dfebe4e4-7b32-481d-ad96-7e4610690d3b] [http-nio-8080-exec-5] c.b.config.logging.HttpLoggingFilter - Response payload: ["dairy","fruits","grocery","medicine"]
2026-01-21 20:11:02.208 [34mINFO [0;39m [23f9c76c-944d-4329-b2a7-7116cd544618] [http-nio-8080-exec-6] c.b.config.TenantInterceptor - tenant-context: tenant=tenantA method=GET path=/api/storefront/categories
2026-01-21 20:11:02.209 [34mINFO [0;39m [23f9c76c-944d-4329-b2a7-7116cd544618] [http-nio-8080-exec-6] c.b.web.CustomerStorefrontController - Customer storefront: list categories tenant=tenantA userId=null
2026-01-21 20:11:02.244 [34mINFO [0;39m [23f9c76c-944d-4329-b2a7-7116cd544618] [http-nio-8080-exec-6] c.b.config.logging.HttpLoggingFilter - GET /api/storefront/categories -> 200 (38 ms)
2026-01-21 20:11:02.245 [34mINFO [0;39m [23f9c76c-944d-4329-b2a7-7116cd544618] [http-nio-8080-exec-6] c.b.config.logging.HttpLoggingFilter - Headers: auth=absent content-type=application/json accept=*/*
2026-01-21 20:11:02.245 [34mINFO [0;39m [23f9c76c-944d-4329-b2a7-7116cd544618] [http-nio-8080-exec-6] c.b.config.logging.HttpLoggingFilter - Response payload: ["dairy","fruits","grocery","medicine"]
2026-01-21 20:11:04.907 [34mINFO [0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] c.b.config.TenantInterceptor - tenant-context: tenant=tenantA method=GET path=/api/storefront/stores/storeA
2026-01-21 20:11:05.091 [34mINFO [0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] c.b.web.CustomerStorefrontController - Customer storefront: get store tenant=tenantA userId=null storeId=storeA 
2026-01-21 20:11:05.091 [1;31mERROR[0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] c.b.web.CustomerStorefrontController - [PROOF][STORE_API] requested storeId=storeA
2026-01-21 20:11:05.116 [1;31mERROR[0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] com.bharatshop.service.StoreService - [PROOF][STORE_MAP] entity.id=storeA mapped.id=storeA
2026-01-21 20:11:05.116 [1;31mERROR[0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] c.b.web.CustomerStorefrontController - [PROOF][STORE_API] store.from.db id=storeA
2026-01-21 20:11:05.121 [34mINFO [0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] c.b.config.logging.HttpLoggingFilter - GET /api/storefront/stores/storeA -> 200 (216 ms)
2026-01-21 20:11:05.121 [34mINFO [0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] c.b.config.logging.HttpLoggingFilter - Headers: auth=absent content-type=application/json accept=*/*
2026-01-21 20:11:05.122 [34mINFO [0;39m [9753ae9e-5bc7-4d33-ab9e-96e5fbcf1b18] [http-nio-8080-exec-7] c.b.config.logging.HttpLoggingFilter - Response payload: {"id":"storeA","name":"Alpha Kirana Store","area":"Connaught Place","category":"grocery","ownerId":null,"ownerPhone":"9000000002","products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-16T00:06:49Z"}
2026-01-21 20:11:05.136 [34mINFO [0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] c.b.config.TenantInterceptor - tenant-context: tenant=tenantA method=GET path=/api/storefront/stores/storeA
2026-01-21 20:11:05.139 [34mINFO [0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] c.b.web.CustomerStorefrontController - Customer storefront: get store tenant=tenantA userId=null storeId=storeA 
2026-01-21 20:11:05.139 [1;31mERROR[0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] c.b.web.CustomerStorefrontController - [PROOF][STORE_API] requested storeId=storeA
2026-01-21 20:11:05.147 [34mINFO [0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.config.TenantInterceptor - tenant-context: tenant=tenantA method=GET path=/api/storefront/stores/storeA/products
2026-01-21 20:11:05.148 [1;31mERROR[0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] com.bharatshop.service.StoreService - [PROOF][STORE_MAP] entity.id=storeA mapped.id=storeA
2026-01-21 20:11:05.149 [1;31mERROR[0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] c.b.web.CustomerStorefrontController - [PROOF][STORE_API] store.from.db id=storeA
2026-01-21 20:11:05.149 [34mINFO [0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.web.CustomerStorefrontController - Customer storefront: list products by store tenant=tenantA userId=null storeId=storeA 
2026-01-21 20:11:05.151 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.web.CustomerStorefrontController - [PROOF][PRODUCT_API] requested storeId=storeA
2026-01-21 20:11:05.151 [34mINFO [0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] c.b.config.logging.HttpLoggingFilter - GET /api/storefront/stores/storeA -> 200 (16 ms)
2026-01-21 20:11:05.151 [34mINFO [0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] c.b.config.logging.HttpLoggingFilter - Headers: auth=absent content-type=application/json accept=*/*
2026-01-21 20:11:05.152 [34mINFO [0;39m [c376fb83-cdfd-4547-8323-41e8ae2f259a] [http-nio-8080-exec-8] c.b.config.logging.HttpLoggingFilter - Response payload: {"id":"storeA","name":"Alpha Kirana Store","area":"Connaught Place","category":"grocery","ownerId":null,"ownerPhone":"9000000002","products":null,"status":"open","orderingDisabled":false,"closedReason":null,"closedUntil":null,"logo":null,"updatedAt":"2026-01-16T00:06:49Z"}
2026-01-21 20:11:05.160 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] com.bharatshop.service.StoreService - [PROOF][STORE_MAP] entity.id=storeA mapped.id=storeA
2026-01-21 20:11:05.161 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.bharatshop.service.ProductService - [PROOF][PRODUCT_QUERY] requested storeId=storeA
2026-01-21 20:11:05.174 [34mINFO [0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.logging.RepositoryLoggingAspect - [REPO_CALL] table=products tenant=tenantA ids=[prodA1, prodA2, prodA3]
2026-01-21 20:11:05.175 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.bharatshop.service.ProductService - [PROOF][PRODUCT_DB] product.id=prodA1 storeId=storeA
2026-01-21 20:11:05.175 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.bharatshop.service.ProductService - [PROOF][PRODUCT_DB] product.id=prodA2 storeId=storeA
2026-01-21 20:11:05.176 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.bharatshop.service.ProductService - [PROOF][PRODUCT_DB] product.id=prodA3 storeId=storeA
2026-01-21 20:11:05.177 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.web.CustomerStorefrontController - [PROOF][PRODUCT_DB] productId=prodA1 storeId=storeA tenant=tenantA
2026-01-21 20:11:05.177 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.web.CustomerStorefrontController - [PROOF][PRODUCT_DB] productId=prodA2 storeId=storeA tenant=tenantA
2026-01-21 20:11:05.178 [1;31mERROR[0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.web.CustomerStorefrontController - [PROOF][PRODUCT_DB] productId=prodA3 storeId=storeA tenant=tenantA
2026-01-21 20:11:05.189 [34mINFO [0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.config.logging.HttpLoggingFilter - GET /api/storefront/stores/storeA/products -> 200 (47 ms)
2026-01-21 20:11:05.190 [34mINFO [0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.config.logging.HttpLoggingFilter - Headers: auth=absent content-type=application/json accept=*/*
2026-01-21 20:11:05.190 [34mINFO [0;39m [37ef145b-83f7-4cf0-b24c-81406ebd8eb8] [http-nio-8080-exec-9] c.b.config.logging.HttpLoggingFilter - Response payload: [{"id":"prodA1","name":"Aata 1kg","price":55.0,"description":null,"image":null,"category":"grocery","storeId":"storeA","currency":"INR","sku":null,"stock":null,"active":true},{"id":"prodA2","name":"Rice 1kg","price":65.0,"description":null,"image":null,"category":"grocery","storeId":"storeA","currency":"INR","sku":null,"stock":null,"active":true},{"id":"prodA3","name":"Milk 500ml","price":30.0,"description":null,"image":null,"category":"dairy","storeId":"storeA","currency":"INR","sku":null,"stock":null,"active":true}]
2026-01-21 20:11:05.207 [34mINFO [0;39m [3b161d89-5525-4dee-b5f4-4569695a078c] [http-nio-8080-exec-10] c.b.config.TenantInterceptor - tenant-context: tenant=tenantA method=GET path=/api/storefront/stores/storeA/products
2026-01-21 20:11:05.209 [34mINFO [0;39m [3b161d89-5525-4dee-b5f4-4569695a078c] [http-nio-8080-exec-10] c.b.web.CustomerStorefrontController - Customer storefront: list products by store tenant=tenantA userId=null storeId=storeA 
2026-01-21 20:11:05.209 [1;31mERROR[0;39m [3b161d89-5525-4dee-b5f4-4569695a078c] [http-nio-8080-exec-10] c.b.web.CustomerStorefrontController - [PROOF][PRODUCT_API] requested storeId=storeA
2026-01-21 20:11:05.216 [1;31mERROR[0;39m [3b161d89-5525-4dee-b5f4-4569695a078c] [http-nio-8080-exec-10] com.bharatshop.service.StoreService - [PROOF][STORE_MAP] entity.id=storeA mapped.id=storeA
2026-01-21 20:11:05.217 [1;31mERROR[0;39m [3b161d89-5525-4dee-b5f4-4569695a078c] [http-nio-8080-exec-10] c.bharatshop.service.ProductService - [PROOF][PRODUCT_QUERY] requested storeId=storeA
2026-01-21 20:11:05.228 [34mINFO [0;39m [3b161d89-5525-4dee-b5f4-4569695a078c] [http-nio-8080-exec-10] c.b.logging.RepositoryLoggingAspect - [REPO_CALL] table=products tenant=tenantA ids=[prodA1, prodA2, prodA3]
2026-01-21 20:11:05.229 [1;31mERROR[0;39m [3b161d89-5525-4dee-b5f4-4569695a078c] [http-nio-8080-exec-10] c.bharatshop.service.ProductService - [PROOF][PRODUCT_DB] product.id=prodA1 storeId=storeA
